Age,GS,G,STL,BLK,PF,Two_Pt_Pct,Three_Pt_Pct,FT_PCt,TS_PCt,Three_Pt_Att,FTr,Assist_Pct,Steal_Pct,Block_Pct,Turnover_Pct,Usage_Pct,ORtg,DRtg,Rising_Star
25,65,65,0.9,0.2,2.1,0.51,0.33,0.78,0.57,0.21,0.42,23.1,1.4,0.5,9.5,26.7,117,109,1
24.5,42.5,74.5,0.7,0.8,1.9,0.43,0.42,0.76,0.54,0.43,0.21,6.9,1.2,1.9,11.1,15.9,104,108,0
21,2,14,0.6,0.2,1.4,0.55,0.38,0.67,0.57,0.48,0.1,6.8,1.8,1.2,16.1,15.2,98,115,0
21,1,5,0,0.2,0.4,0.29,0,0.75,0.22,0.22,0,0,0,3,10,15.2,50,109,0
28,19,74,0.6,0.1,1.8,0.45,0.39,0.94,0.53,0.43,0.23,28.2,1.5,0.4,12.9,21.6,109,114,0
24,1.333333333,15,1.3,0.4,1.7,0.48,0.36,0.8,0.53,0.26,0.27,18.6,3.8,1.9,24,16.3,100,107,0
22.5,0,10.5,0.7,0.3,0.7,0.49,0.3,0.75,0.49,0.02,0.12,18.6,11.1,9.1,12.5,39.8,96,99,0
22.33333333,79.33333333,79.33333333,0.7,2.1,3.1,0.52,0,0.82,0.57,0,0.45,11.8,1,5.2,13.1,28.6,114,110,1
22.5,49.5,66,1.1,0.5,2.8,0.47,0.34,0.75,0.52,0.3,0.27,20.4,1.9,2.1,16.7,16,106,112,0
20,0.333333333,7.666666667,0.3,0.2,0.4,0.4,0.67,0.75,0.44,0.58,0,15.1,2.5,3.5,25,31.5,103,113,0
21,13,56,0.3,0.3,1.9,0.61,0.14,0.57,0.54,0.19,0.26,9.9,1.2,2,15.9,15.3,107,114,0
22.5,0,11.5,0.4,0,0.4,0.57,0.35,0.83,0.52,0.3,0.26,17,3.7,0,33.3,25.6,102,109,0
23,11,14,0.7,0.1,1.2,0.43,0.38,0.52,0.51,0.46,0.3,7.7,1.8,0.6,12.3,14.1,99,110,0
24,31,66,0.5,0,1.9,0.49,0.43,0.89,0.59,0.54,0.15,11.7,1,0.1,9.8,17.9,113,114,0
25,49.66666667,81.33333333,1.1,0.4,2.5,0.49,0.43,0.89,0.59,0.49,0.14,12.8,2.1,1.1,11.3,25.1,113,114,0
21,8.333333333,30.33333333,0.3,0.8,2.1,0.44,0.3,0.82,0.47,0.09,0.5,7.5,1.9,2.6,19,22.5,94,110,0
25,15,65,1.6,0.1,1.9,0.53,0.31,0.77,0.56,0.28,0.31,14.3,2.8,0.3,10.3,16,112,112,0
25,0,22,0.4,0.1,0.7,0.47,0.39,1,0.53,0.5,0.18,15.5,3,0.9,20.5,21.8,103,114,0
27.5,8.5,26.5,0.8,0.3,1.7,0.63,0.31,0.81,0.55,0.46,0.08,12.9,2.2,1.5,12.4,13.7,107,115,0
23,27.66666667,60,1.2,0.3,2.3,0.46,0.42,0.83,0.54,0.45,0.2,21.6,2.3,0.6,15.4,27.1,108,110,0
24,1,18,0.7,0.4,1.8,0.36,0.54,0.81,0.6,0.44,0.25,11.1,1.9,2,13.9,15,113,113,0
21,1.333333333,25,0.3,0.3,2.3,0.62,0.14,0.67,0.6,0.13,0.36,14,1.6,2.1,40.4,20,94,112,0
